policy,occlusion,episode,success,final_error,identity_swaps,search_steps,proxy_uncertainty
visible_only,short,0,1,0.004191187631732873,0,8,1.0
visible_only,short,1,1,0.010232355139150773,0,8,1.0
visible_only,short,2,1,9.145839708291081e-05,0,8,1.0
visible_only,short,3,1,0.0005666219136536976,0,8,1.0
visible_only,short,4,1,0.00044057965270982713,0,8,1.0
visible_only,short,5,1,0.018444686015587908,0,8,1.0
visible_only,short,6,1,0.009069587280155611,0,8,1.0
visible_only,short,7,1,0.000836786485877955,0,8,1.0
visible_only,short,8,1,0.0055767405129028,0,8,1.0
visible_only,short,9,1,0.0195824808620374,0,8,1.0
visible_only,short,10,1,0.0014274183279003039,0,8,1.0
visible_only,short,11,1,0.0030654103440187486,0,8,1.0
visible_only,short,12,1,0.00942897573654955,0,8,1.0
visible_only,short,13,1,0.01001607521277667,0,8,1.0
visible_only,short,14,1,0.003956270912764445,0,8,1.0
visible_only,short,15,1,0.006659416323727352,0,8,1.0
visible_only,short,16,1,0.025171091459825212,0,8,1.0
visible_only,short,17,1,0.0030447228486478427,0,8,1.0
visible_only,short,18,1,0.016493413711074267,0,8,1.0
visible_only,short,19,1,0.0014234965817011558,0,8,1.0
visible_only,short,20,1,0.0010858119214613993,0,8,1.0
visible_only,short,21,1,0.00785823249248524,0,8,1.0
visible_only,short,22,1,0.024871135263887068,0,8,1.0
visible_only,short,23,1,0.00754584023320555,0,8,1.0
visible_only,short,24,1,0.008891847050510937,0,8,1.0
visible_only,short,25,1,0.00618381962606228,0,8,1.0
visible_only,short,26,1,0.01891467760450316,0,8,1.0
visible_only,short,27,1,0.006202136995434371,0,8,1.0
visible_only,short,28,1,0.0038677545914829192,0,8,1.0
visible_only,short,29,1,0.005302703871017056,0,8,1.0
visible_only,short,30,1,0.0011160095632012368,0,8,1.0
visible_only,short,31,1,0.009051060691302959,0,8,1.0
visible_only,short,32,1,0.013019037490501872,0,8,1.0
visible_only,short,33,1,0.00699147654273391,0,8,1.0
visible_only,short,34,1,0.0023133239103673153,0,8,1.0
visible_only,short,35,1,0.009271114291331942,0,8,1.0
visible_only,short,36,1,0.01878840015470412,0,8,1.0
visible_only,short,37,1,0.013725864246353248,0,8,1.0
visible_only,short,38,1,0.0152956798637226,0,8,1.0
visible_only,short,39,1,0.009167847927848916,0,8,1.0
visible_only,short,40,1,0.00830430667040516,0,8,1.0
visible_only,short,41,1,0.019616243571608932,0,8,1.0
visible_only,short,42,1,0.011308286409992263,0,8,1.0
visible_only,short,43,1,0.02136671822461189,0,8,1.0
visible_only,short,44,1,0.004761675483104744,0,8,1.0
visible_only,short,45,1,0.01841808287474811,0,8,1.0
visible_only,short,46,1,0.023547559737479615,0,8,1.0
visible_only,short,47,1,0.0007757174573435055,0,8,1.0
visible_only,short,48,1,0.004344325462178167,0,8,1.0
visible_only,short,49,1,0.007936411113314445,0,8,1.0
visible_only,short,50,1,0.01707422944895287,0,8,1.0
visible_only,short,51,1,0.015421035257906168,0,8,1.0
visible_only,short,52,1,0.010781318472790458,0,8,1.0
visible_only,short,53,1,0.008673504429031892,0,8,1.0
visible_only,short,54,1,0.015873812055168968,0,8,1.0
visible_only,short,55,1,0.01042611901135615,0,8,1.0
visible_only,short,56,1,0.019212809500447764,0,8,1.0
visible_only,short,57,1,0.011689213055714132,0,8,1.0
visible_only,short,58,1,0.006482467799368896,0,8,1.0
visible_only,short,59,1,0.01044739704082287,0,8,1.0
visible_only,short,60,1,0.004888359164377409,0,8,1.0
visible_only,short,61,1,0.008914336363749387,0,8,1.0
visible_only,short,62,1,0.008424994010904019,0,8,1.0
visible_only,short,63,1,0.009369151316261703,0,8,1.0
visible_only,short,64,1,0.014626538485882468,0,8,1.0
visible_only,short,65,1,0.018230962319891297,0,8,1.0
visible_only,short,66,1,0.0032549303379171834,0,8,1.0
visible_only,short,67,1,0.0065581863257381245,0,8,1.0
visible_only,short,68,1,0.005921192580143786,0,8,1.0
visible_only,short,69,1,0.016666363438592402,0,8,1.0
visible_only,short,70,1,0.0009086129745219385,0,8,1.0
visible_only,short,71,1,0.01085502619963323,0,8,1.0
visible_only,short,72,1,0.003539507363451766,0,8,1.0
visible_only,short,73,1,0.003124388434247949,0,8,1.0
visible_only,short,74,1,0.009683259764079577,0,8,1.0
visible_only,short,75,1,0.021916682683916125,0,8,1.0
visible_only,short,76,1,0.006583718932118066,0,8,1.0
visible_only,short,77,1,0.03080260640183452,0,8,1.0
visible_only,short,78,1,0.003838722857827659,0,8,1.0
visible_only,short,79,1,0.0030400901246894763,0,8,1.0
visible_only,short,80,1,0.007304329548405042,0,8,1.0
visible_only,short,81,1,0.0006771077447667029,0,8,1.0
visible_only,short,82,1,0.009953822048479888,0,8,1.0
visible_only,short,83,1,0.0041904365969926485,0,8,1.0
visible_only,short,84,1,0.01346623392276991,0,8,1.0
visible_only,short,85,1,0.006026125433778534,0,8,1.0
visible_only,short,86,1,0.007000505001019508,0,8,1.0
visible_only,short,87,1,0.0032305972406521163,0,8,1.0
