observability,policy,success,final_error,swap,proxy_loss,rebind_precision,reacq_success,search,delay,waste,safety,progress,utility,weight
r00,active_search_proxy,0.6931769916565351,0.08123563999999797,0.098129127466667,0.09386131200000307,0.6880933333334049,0.637791999999963,0.734729637333335,0.4634080766933326,0.26834581762460474,0.059169643306666304,0.6026390399999884,0.39790355989609827,4412620800
r00,identity_gate,0.4172033311850676,0.22612737713066647,0.12782783930666666,0.3097817247999996,0.5578226666666513,0.22608000000000436,0.1634320133333331,0.1107432013333336,0.11361587131733375,0.06334533577599942,0.4614309240319951,0.06415623358815539,4412620800
r00,last_seen_belief,0.33510040533333313,0.28996666666666665,0.3972938666666673,0.2805613333333242,0.3013039999999886,0.1004800000000278,0.057372805333333284,0.049599999999995516,0.06306666666666651,0.060427511519644636,0.5526078666666839,-0.2712181133650385,4412620800
r00,loose_proxy,0.30589811630719993,0.13553514943999365,0.5491190666666659,0.06543936800000213,0.17112533333334226,0.15071999999999902,0.0860592080000006,0.05960000000001205,0.08459999999998868,0.0798170033119998,0.5418225679999997,-0.31661861067436814,4412620800
r00,oracle_proxy,0.939246000000001,0.02280890999999978,0.0010592984408699857,0.02103649599999992,0.9850000000002345,0.8959999999998518,0.2609440266666662,0.08443776106666646,0.028650000000002496,0.020683999999999706,0.9130640000001025,0.9987476785807898,4412620800
r00,proxy_reacquisition,0.7295637317706632,0.10726342431999766,0.1706160821333335,0.1209343040000007,0.6037519999999927,0.5190880000001459,0.5304560400000008,0.3157094495999998,0.16779222206904282,0.07624108179199993,0.6950283200000063,0.37612650717381546,4412620800
r00,risk_calibrated_proxy,0.6782053060728293,0.09408616447999969,0.09800687844604472,0.12092505600000042,0.7136866666665566,0.5874319999999521,0.2978464600000013,0.2001456961333327,0.1228001732501975,0.06313422943288854,0.7722464533333425,0.5225989373520903,4412620800
r00,visible_only,0.28398658666665477,0.38901733333333144,0.020091666666667188,0.49645866666665717,0.48150400000001087,0.030239999999996256,0.0,0.03479999999999597,0.03653333333333361,0.054897802111111664,0.46154933333336645,-0.05004501193808088,4412620800
r01,active_search_proxy,0.7183473036949329,0.07185246666666666,0.0816858289066667,0.07971560959999749,0.7532053333333539,0.7092720000002093,0.7588361973333325,0.4800043070933335,0.27687241816874664,0.05638701687466661,0.6112166399999938,0.4581000703874389,4412620800
r01,identity_gate,0.43464125959466593,0.22184664074666585,0.11083937946666647,0.2859998559999974,0.5970866666666392,0.2582639999999678,0.16054721333333347,0.11405472133333328,0.11171332181333382,0.06082835632000038,0.46523602304000095,0.12219138724611579,4412620800
r01,last_seen_belief,0.3363964053333338,0.28996666666666665,0.3947018666666667,0.2805613333333242,0.3226800000000097,0.11478399999997276,0.056218885333333135,0.052000000000005216,0.06306666666666651,0.060298277855644615,0.5526078666666839,-0.2625929760834683,4412620800
r01,loose_proxy,0.3165432882240012,0.13500666346666282,0.5350550666666652,0.0588332933333342,0.19517333333331413,0.17217600000003958,0.08432832799999979,0.061999999999989105,0.08459999999998868,0.07881527147199925,0.5443540879999984,-0.28319120774113327,4412620800
r01,oracle_proxy,0.9722539999999915,0.020463116666666333,0.0010592984408699857,0.018384176799999943,0.9850000000002345,0.9114800000002149,0.2551744266666667,0.09020697706666696,0.028650000000002496,0.020683999999999706,0.9210800000000686,0.9987534875977316,4412620800
r01,proxy_reacquisition,0.764632353533871,0.09364331705600253,0.1438957219733327,0.10148396320000526,0.662615999999974,0.594688000000057,0.5539856399999981,0.33095655360000037,0.1713072139170565,0.0724676639359996,0.7056123200000219,0.46017573359923425,4412620800
