task,policy,success,final_error,swap,proxy_loss,rebind_precision,reacq_success,search,delay,waste,safety,progress,utility,weight
t00,active_search_proxy,0.7182379926067172,0.06758060746666593,0.07734915827200003,0.080994102613333,0.75027093333334,0.7035984000000576,0.7466502506666659,0.48034108522666813,0.2811318167661364,0.055451572317866536,0.610535807999998,0.46221639848156826,1838592000
t00,identity_gate,0.43956815177216024,0.20754508023893303,0.10464123310933325,0.2863985939199993,0.6037490666666772,0.2553551999999927,0.15723394666666674,0.11564339466666639,0.11174522084693336,0.0578763588832001,0.46517222497279975,0.1377730183117115,1838592000
t00,last_seen_belief,0.35269440533333307,0.2703666666666575,0.3722978666666666,0.28056133333332967,0.32232160000000465,0.11349120000000333,0.05489357866666673,0.05327999999999927,0.06306666666666558,0.05730852593244423,0.5526078666666718,-0.22206528534211245,1838592000
t00,loose_proxy,0.35420756812288084,0.1232555243093333,0.48687039999999965,0.058944053866666735,0.19477013333333743,0.1702367999999966,0.08234036799999989,0.06328000000000093,0.08460000000000195,0.07186826616888894,0.5530273280000003,-0.19947225053714193,1838592000
t00,oracle_proxy,0.9726076000000026,0.019395151866666592,0.0010717897325725125,0.01862389423999999,0.9849999999999088,0.9085840000000255,0.24854789333333366,0.09314191573333327,0.02865000000000049,0.019622000000000153,0.9209455999999814,0.9987433269281124,1838592000
t00,proxy_reacquisition,0.76672198529856,0.08829156088746744,0.13684863219200025,0.10324189109333386,0.6600496000000018,0.5860415999999776,0.54113704,0.33299288960000073,0.17257234271459782,0.07046601649279956,0.7044018239999925,0.46940161675028425,1838592000
t00,risk_calibrated_proxy,0.7090511661169676,0.07669813410986695,0.07928057474289789,0.09864656970666359,0.7909586666666648,0.655334399999986,0.2876455600000005,0.2093495341333343,0.12402865148485309,0.0572184171463111,0.7831108373333387,0.6067069023416942,1838592000
t00,visible_only,0.2879849866666636,0.36680399999999563,0.020091666666667004,0.4964586666666719,0.5025215999999979,0.0367455999999984,0.0,0.036640000000001845,0.03653333333333312,0.051428926611111654,0.4615493333333355,-0.03618573454339763,1838592000
t01,active_search_proxy,0.7162258580275199,0.07224480714666627,0.08170238195200015,0.080994102613333,0.75027093333334,0.7035984000000576,0.7553436906666665,0.4832968548266669,0.2768129251531158,0.055235806404266674,0.610535807999998,0.45509786186462653,1838592000
t01,identity_gate,0.43535152715776176,0.22268108023893418,0.10962696814933308,0.2863985939199993,0.6037490666666772,0.2553551999999927,0.16033874666666662,0.11595387466666661,0.11174522084693336,0.0573628176735998,0.46517222497279975,0.12586126463557545,1838592000
t01,last_seen_belief,0.33890400533333404,0.2910066666666626,0.38914586666666673,0.28056133333332967,0.32232160000000465,0.11349120000000333,0.05613549866666676,0.05327999999999927,0.06306666666666558,0.05767278702684433,0.5526078666666718,-0.2542720250830334,1838592000
t01,loose_proxy,0.3308898497228804,0.13563952430933293,0.5158864000000015,0.058944053866666735,0.19477013333333743,0.1702367999999966,0.08420324799999991,0.06328000000000093,0.08460000000000195,0.07298666943288894,0.5478044479999998,-0.2503182131617941,1838592000
t01,oracle_proxy,0.9705435999999973,0.020561201786666337,0.0011105337390166685,0.01862389423999999,0.9849999999999088,0.9085840000000255,0.25475749333333325,0.09339029973333338,0.02865000000000049,0.019405999999999937,0.9209455999999814,0.9987316142828894,1838592000
t01,proxy_reacquisition,0.762568426373759,0.09428838904746611,0.14392262067199993,0.10324189109333386,0.6600496000000018,0.5860415999999776,0.5504514400000001,0.3352283456000004,0.1712230465101058,0.0700254407744003,0.7044018239999925,0.45691320537984537,1838592000
t01,risk_calibrated_proxy,0.7064411023606809,0.08224186858666682,0.08263930713969789,0.10131182666666816,0.7909586666666648,0.655334399999986,0.30723315999999967,0.21287530213333286,0.12430419031595727,0.05629659811271093,0.7831108373333387,0.5961008338440392,1838592000
