policy,success,final_error,swap,proxy_loss,rebind_precision,reacq_success,search,delay,waste,safety,progress,utility,weight
active_search_proxy,0.7159305704392528,0.07200978933333299,0.08246822685866617,0.08099410261333752,0.7502709333332737,0.7035983999997333,0.7559139573333339,0.4834907454933387,0.2765125200478812,0.056512421393066725,0.61053580799999,0.4534840667701797,22063104000
identity_gate,0.43515779060522675,0.22191841357226486,0.11050408820266946,0.2863985939200045,0.6037490666666498,0.25535519999995876,0.16054241333333372,0.11597424133333355,0.11174522084693442,0.0604012698304013,0.4651722249728021,0.12333350737845582,22063104000
last_seen_belief,0.3376924053333321,0.2899666666666805,0.39210986666666486,0.28056133333331185,0.32232160000012744,0.11349119999999305,0.05621696533333355,0.05328000000002284,0.06306666666668266,0.06016904419164431,0.5526078666667117,-0.25927574236876616,22063104000
loose_proxy,0.32712397852288144,0.13501552430933061,0.5209910666666642,0.058944053866664396,0.19477013333333187,0.17023680000005031,0.08432544799999978,0.06328000000002304,0.0845999999999961,0.07781353963200034,0.546885608,-0.2608010172872394,22063104000
oracle_proxy,0.9706475999999872,0.02050244733333207,0.0010592984408700943,0.018623894240001135,0.9849999999988013,0.908583999999943,0.2551648266666661,0.09340659306666702,0.028649999999999363,0.020684000000000084,0.9209455999998739,0.9987516796084234,22063104000
proxy_reacquisition,0.7620412821700329,0.09398622328746413,0.14516711864533666,0.1032418910933291,0.6600496000000367,0.5860415999998368,0.5510624399999989,0.3353749856,0.17112537701250582,0.07263218044159876,0.7044018239999537,0.4539600925368615,22063104000
risk_calibrated_proxy,0.7064825023266326,0.08196253312853223,0.08265780800743018,0.10117753077333276,0.7909586666669121,0.6553344000000019,0.3091376599999999,0.21321811213333378,0.12434294436038412,0.05871457487928728,0.7831108373333842,0.5946591701309739,22063104000
visible_only,0.2839865866666711,0.3890173333332563,0.020091666666669578,0.4964586666666396,0.5025216000001004,0.036745599999998935,0.0,0.03663999999999452,0.036533333333329816,0.05489780211110821,0.46154933333337467,-0.04611073896937254,22063104000
