title,year,venue,doi,score
A Hierarchical Vision-Language and Reinforcement Learning Framework for Robotic Task and Motion Planning in Collaborative Manipulation,2026,IEEE Robotics and Automation Letters,10.1109/lra.2025.3629984,4
VLAG: Graph-Based Planning for Vision-Language-Action Models in Long Horizon Manipulation Tasks,2025,Volume 3A: 51st Design Automation Conference (DAC),10.1115/detc2025-169527,4
A Task and Motion Planning Framework for Partially Observable Household Manipulation Scenes,2025,Advanced Intelligent Systems,10.1002/aisy.202400897,4
Task and Motion Planning for Humanoid Loco-Manipulation,2025,2025 IEEE-RAS 24th International Conference on Humanoid Robots (Humanoids),10.1109/humanoids65713.2025.11203197,3
Integrated Task and Motion Planning for Multi-Robot Manipulation in Industry and Service Automation,2025,IEEE Access,10.1109/access.2025.3610811,3
Object-Centric Kinodynamic Planning for Nonprehensile Robot Rearrangement Manipulation,2025,IEEE Transactions on Robotics,10.1109/tro.2025.3613532,3
DiMSam: Diffusion Models as Samplers for Task and Motion Planning under Partial Observability,2024,2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros58592.2024.10802746,3
Extending Task and Motion Planning with Feasibility Prediction: Towards Multi-Robot Manipulation Planning of Realistic Objects,2024,2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros58592.2024.10802307,3
Symbolic State Space Optimization for Long Horizon Mobile Manipulation Planning,2023,2023 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros55552.2023.10342224,3
State Representation Learning for Task and Motion Planning in Robot Manipulation,2023,2023 IEEE International Conference on Development and Learning (ICDL),10.1109/icdl55364.2023.10364419,3
Long-Horizon Manipulation of Unknown Objects via Task and Motion Planning with Estimated Affordances,2022,2022 International Conference on Robotics and Automation (ICRA),10.1109/icra46639.2022.9812057,3
Visually Grounded Task and Motion Planning for Mobile Manipulation,2022,2022 International Conference on Robotics and Automation (ICRA),10.1109/icra46639.2022.9812055,3
Neural network-enhanced optimal motion planning for robot manipulation under remote center of motion,2022,"Tactile Sensing, Skill Learning, and Robotic Dexterous Manipulation",10.1016/b978-0-32-390445-2.00022-2,3
Utilization of Image/Force/Tactile Sensor Data for Object-Shape-Oriented Manipulation: Wiping Objects With Turning Back Motions and Occlusion,2022,IEEE Robotics and Automation Letters,10.1109/lra.2021.3136657,3
Manipulation Planning From Demonstration Via Goal-Conditioned Prior Action Primitive Decomposition and Alignment,2022,IEEE Robotics and Automation Letters,10.1109/lra.2021.3140127,3
Continuous Optimization-Based Task and Motion Planning with Signal Temporal Logic Specifications for Sequential Manipulation,2021,2021 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra48506.2021.9561209,3
